tract_num,fips,qualifying name,total population:.9,total population: white alone,total population: black or african american alone,total population: american indian and alaska native alone,total population: asian alone,total population: native hawaiian and other pacific islander alone,total population: some other race alone,total population: two or more races,% total population: white alone,% total population: black or african american alone,% total population: american indian and alaska native alone,% total population: asian alone,% total population: native hawaiian and other pacific islander alone,% total population: some other race alone,% total population: two or more races,total population.2,total population: not hispanic or latino,total population: not hispanic or latino: white alone,total population: not hispanic or latino: black or african american alone,total population: not hispanic or latino: american indian and alaska native alone,total population: not hispanic or latino: asian alone,total population: not hispanic or latino: native hawaiian and other pacific islander alone,total population: not hispanic or latino: some other race alone,total population: not hispanic or latino: two or more races,total population: hispanic or latino,total population: hispanic or latino: white alone,total population: hispanic or latino: black or african american alone,total population: hispanic or latino: american indian and alaska native alone,total population: hispanic or latino: asian alone,total population: hispanic or latino: native hawaiian and other pacific islander alone,total population: hispanic or latino: some other race alone,total population: hispanic or latino: two or more races,% total population: not hispanic or latino,% total population: not hispanic or latino: white alone,% total population: not hispanic or latino: black or african american alone,% total population: not hispanic or latino: american indian and alaska native alone,% total population: not hispanic or latino: asian alone,% total population: not hispanic or latino: native hawaiian and other pacific islander alone,% total population: not hispanic or latino: some other race alone,% total population: not hispanic or latino: two or more races,% total population: hispanic or latino,% total population: hispanic or latino: white alone,% total population: hispanic or latino: black or african american alone,% total population: hispanic or latino: american indian and alaska native alone,% total population: hispanic or latino: asian alone,% total population: hispanic or latino: native hawaiian and other pacific islander alone,% total population: hispanic or latino: some other race alone,% total population: hispanic or latino: two or more races
2718,17031271800,2718,1017,20,997,0,0,0,0,0,1.97,98.03,0,0,0,0,0,1017,1017,20,997,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.97,98.03,0,0,0,0,0,0,0,0,0,0,0,0,0
2801,17031280100,2801,5293,4294,286,15,600,0,55,43,81.13,5.4,0.28,11.34,0,1.04,0.81,5293,4903,3929,286,0,600,0,55,33,390,365,0,15,0,0,0,10,92.63,74.23,5.4,0,11.34,0,1.04,0.62,7.37,6.9,0,0.28,0,0,0,0.19
2808,17031280800,2808,544,62,471,0,0,0,0,11,11.4,86.58,0,0,0,0,2.02,544,534,52,471,0,0,0,0,11,10,10,0,0,0,0,0,0,98.16,9.56,86.58,0,0,0,0,2.02,1.84,1.84,0,0,0,0,0,0
2809,17031280900,2809,1039,31,980,0,0,0,12,16,2.98,94.32,0,0,0,1.15,1.54,1039,992,16,971,0,0,0,0,5,47,15,9,0,0,0,12,11,95.48,1.54,93.46,0,0,0,0,0.48,4.52,1.44,0.87,0,0,0,1.15,1.06
2819,17031281900,2819,4049,2350,368,0,1205,0,26,100,58.04,9.09,0,29.76,0,0.64,2.47,4049,3941,2276,354,0,1185,0,26,100,108,74,14,0,20,0,0,0,97.33,56.21,8.74,0,29.27,0,0.64,2.47,2.67,1.83,0.35,0,0.49,0,0,0
5204,17031520400,5204,3986,3031,27,21,0,0,813,94,76.04,0.68,0.53,0,0,20.4,2.36,3986,764,729,27,0,0,0,0,8,3222,2302,0,21,0,0,813,86,19.17,18.29,0.68,0,0,0,0,0.2,80.83,57.75,0,0.53,0,0,20.4,2.16
5501,17031550100,5501,7497,5507,1057,37,34,0,603,259,73.46,14.1,0.49,0.45,0,8.04,3.45,7497,3794,2860,880,0,17,0,0,37,3703,2647,177,37,17,0,603,222,50.61,38.15,11.74,0,0.23,0,0,0.49,49.39,35.31,2.36,0.49,0.23,0,8.04,2.96
6115,17031611500,6115,3133,1693,314,41,0,0,1085,0,54.04,10.02,1.31,0,0,34.63,0,3133,454,137,300,17,0,0,0,0,2679,1556,14,24,0,0,1085,0,14.49,4.37,9.58,0.54,0,0,0,0,85.51,49.66,0.45,0.77,0,0,34.63,0
6116,17031611600,6116,2295,345,1589,0,0,0,179,182,15.03,69.24,0,0,0,7.8,7.93,2295,1743,0,1581,0,0,0,0,162,552,345,8,0,0,0,179,20,75.95,0,68.89,0,0,0,0,7.06,24.05,15.03,0.35,0,0,0,7.8,0.87
6117,17031611700,6117,1287,307,901,0,0,0,52,27,23.85,70.01,0,0,0,4.04,2.1,1287,972,44,901,0,0,0,0,27,315,263,0,0,0,0,52,0,75.52,3.42,70.01,0,0,0,0,2.1,24.48,20.44,0,0,0,0,4.04,0
6118,17031611800,6118,2556,579,1675,0,0,10,241,51,22.65,65.53,0,0,0.39,9.43,2,2556,1870,151,1675,0,0,0,0,44,686,428,0,0,0,10,241,7,73.16,5.91,65.53,0,0,0,0,1.72,26.84,16.74,0,0,0,0.39,9.43,0.27
