tract_num,fips,qualifying name,total population:.9,total population: white alone,total population: black or african american alone,total population: american indian and alaska native alone,total population: asian alone,total population: native hawaiian and other pacific islander alone,total population: some other race alone,total population: two or more races,% total population: white alone,% total population: black or african american alone,% total population: american indian and alaska native alone,% total population: asian alone,% total population: native hawaiian and other pacific islander alone,% total population: some other race alone,% total population: two or more races,total population.2,total population: not hispanic or latino,total population: not hispanic or latino: white alone,total population: not hispanic or latino: black or african american alone,total population: not hispanic or latino: american indian and alaska native alone,total population: not hispanic or latino: asian alone,total population: not hispanic or latino: native hawaiian and other pacific islander alone,total population: not hispanic or latino: some other race alone,total population: not hispanic or latino: two or more races,total population: hispanic or latino,total population: hispanic or latino: white alone,total population: hispanic or latino: black or african american alone,total population: hispanic or latino: american indian and alaska native alone,total population: hispanic or latino: asian alone,total population: hispanic or latino: native hawaiian and other pacific islander alone,total population: hispanic or latino: some other race alone,total population: hispanic or latino: two or more races,% total population: not hispanic or latino,% total population: not hispanic or latino: white alone,% total population: not hispanic or latino: black or african american alone,% total population: not hispanic or latino: american indian and alaska native alone,% total population: not hispanic or latino: asian alone,% total population: not hispanic or latino: native hawaiian and other pacific islander alone,% total population: not hispanic or latino: some other race alone,% total population: not hispanic or latino: two or more races,% total population: hispanic or latino,% total population: hispanic or latino: white alone,% total population: hispanic or latino: black or african american alone,% total population: hispanic or latino: american indian and alaska native alone,% total population: hispanic or latino: asian alone,% total population: hispanic or latino: native hawaiian and other pacific islander alone,% total population: hispanic or latino: some other race alone,% total population: hispanic or latino: two or more races
6119,17031611900,6119,2399,258,2021,0,0,0,92,28,10.75,84.24,0,0,0,3.83,1.17,2399,2034,13,2021,0,0,0,0,0,365,245,0,0,0,0,92,28,84.79,0.54,84.24,0,0,0,0,0,15.21,10.21,0,0,0,0,3.83,1.17
6120,17031612000,6120,1581,5,1379,0,0,0,195,2,0.32,87.22,0,0,0,12.33,0.13,1581,1444,5,1379,0,0,0,58,2,137,0,0,0,0,0,137,0,91.33,0.32,87.22,0,0,0,3.67,0.13,8.67,0,0,0,0,0,8.67,0
6121,17031612100,6121,1335,91,1244,0,0,0,0,0,6.82,93.18,0,0,0,0,0,1335,1317,73,1244,0,0,0,0,0,18,18,0,0,0,0,0,0,98.65,5.47,93.18,0,0,0,0,0,1.35,1.35,0,0,0,0,0,0
6201,17031620100,6201,4701,2883,200,10,81,0,1448,79,61.33,4.25,0.21,1.72,0,30.8,1.68,4701,924,646,148,0,81,0,0,49,3777,2237,52,10,0,0,1448,30,19.66,13.74,3.15,0,1.72,0,0,1.04,80.34,47.59,1.11,0.21,0,0,30.8,0.64
6202,17031620200,6202,2453,1494,9,0,97,0,812,41,60.91,0.37,0,3.95,0,33.1,1.67,2453,774,653,9,0,97,0,0,15,1679,841,0,0,0,0,812,26,31.55,26.62,0.37,0,3.95,0,0,0.61,68.45,34.28,0,0,0,0,33.1,1.06
702,17031070200,702,4124,3555,219,0,147,0,75,128,86.2,5.31,0,3.56,0,1.82,3.1,4124,3799,3310,219,0,147,0,0,123,325,245,0,0,0,0,75,5,92.12,80.26,5.31,0,3.56,0,0,2.98,7.88,5.94,0,0,0,0,1.82,0.12
703,17031070300,703,3303,2632,41,0,500,0,21,109,79.69,1.24,0,15.14,0,0.64,3.3,3303,3166,2502,41,0,500,0,14,109,137,130,0,0,0,0,7,0,95.85,75.75,1.24,0,15.14,0,0.42,3.3,4.15,3.94,0,0,0,0,0.21,0
704,17031070400,704,3275,3005,160,0,43,0,42,25,91.76,4.89,0,1.31,0,1.28,0.76,3275,3025,2809,148,0,43,0,0,25,250,196,12,0,0,0,42,0,92.37,85.77,4.52,0,1.31,0,0,0.76,7.63,5.98,0.37,0,0,0,1.28,0
705,17031070500,705,3037,2671,127,33,144,0,43,19,87.95,4.18,1.09,4.74,0,1.42,0.63,3037,2876,2581,127,5,144,0,0,19,161,90,0,28,0,0,43,0,94.7,84.99,4.18,0.16,4.74,0,0,0.63,5.3,2.96,0,0.92,0,0,1.42,0
706,17031070600,706,2905,2775,9,0,68,0,31,22,95.52,0.31,0,2.34,0,1.07,0.76,2905,2718,2619,9,0,68,0,0,22,187,156,0,0,0,0,31,0,93.56,90.15,0.31,0,2.34,0,0,0.76,6.44,5.37,0,0,0,0,1.07,0
707,17031070700,707,3116,2413,96,0,359,0,191,57,77.44,3.08,0,11.52,0,6.13,1.83,3116,2793,2264,96,0,359,0,26,48,323,149,0,0,0,0,165,9,89.63,72.66,3.08,0,11.52,0,0.83,1.54,10.37,4.78,0,0,0,0,5.3,0.29
710,17031071000,710,4032,3305,174,9,317,0,81,146,81.97,4.32,0.22,7.86,0,2.01,3.62,4032,3578,2957,165,5,317,0,0,134,454,348,9,4,0,0,81,12,88.74,73.34,4.09,0.12,7.86,0,0,3.32,11.26,8.63,0.22,0.1,0,0,2.01,0.3
711,17031071100,711,2880,2541,78,5,154,0,21,81,88.23,2.71,0.17,5.35,0,0.73,2.81,2880,2716,2409,78,0,148,0,0,81,164,132,0,5,6,0,21,0,94.31,83.65,2.71,0,5.14,0,0,2.81,5.69,4.58,0,0.17,0.21,0,0.73,0
712,17031071200,712,2055,1796,93,0,152,0,0,14,87.4,4.53,0,7.4,0,0,0.68,2055,1913,1654,93,0,152,0,0,14,142,142,0,0,0,0,0,0,93.09,80.49,4.53,0,7.4,0,0,0.68,6.91,6.91,0,0,0,0,0,0
713,17031071300,713,3604,3243,106,0,223,0,0,32,89.98,2.94,0,6.19,0,0,0.89,3604,3525,3164,106,0,223,0,0,32,79,79,0,0,0,0,0,0,97.81,87.79,2.94,0,6.19,0,0,0.89,2.19,2.19,0,0,0,0,0,0
1204,17031120400,1204,3898,2592,18,0,426,0,767,95,66.5,0.46,0,10.93,0,19.68,2.44,3898,2659,2162,18,0,426,0,5,48,1239,430,0,0,0,0,762,47,68.21,55.46,0.46,0,10.93,0,0.13,1.23,31.79,11.03,0,0,0,0,19.55,1.21
1301,17031130100,1301,6002,4233,93,39,1336,0,260,41,70.53,1.55,0.65,22.26,0,4.33,0.68,6002,5332,3892,93,24,1282,0,0,41,670,341,0,15,54,0,260,0,88.84,64.85,1.55,0.4,21.36,0,0,0.68,11.16,5.68,0,0.25,0.9,0,4.33,0
1302,17031130200,1302,1586,1292,58,0,148,0,50,38,81.46,3.66,0,9.33,0,3.15,2.4,1586,1309,1065,58,0,148,0,0,38,277,227,0,0,0,0,50,0,82.53,67.15,3.66,0,9.33,0,0,2.4,17.47,14.31,0,0,0,0,3.15,0
1303,17031130300,1303,4977,2454,46,0,1806,0,553,118,49.31,0.92,0,36.29,0,11.11,2.37,4977,3962,2095,46,0,1777,0,9,35,1015,359,0,0,29,0,544,83,79.61,42.09,0.92,0,35.7,0,0.18,0.7,20.39,7.21,0,0,0.58,0,10.93,1.67
1401,17031140100,1401,3599,1344,198,0,403,0,1595,59,37.34,5.5,0,11.2,0,44.32,1.64,3599,1534,903,198,0,395,0,0,38,2065,441,0,0,8,0,1595,21,42.62,25.09,5.5,0,10.98,0,0,1.06,57.38,12.25,0,0,0.22,0,44.32,0.58
1402,17031140200,1402,6468,2177,215,70,898,0,2844,264,33.66,3.32,1.08,13.88,0,43.97,4.08,6468,2686,1488,171,0,898,0,58,71,3782,689,44,70,0,0,2786,193,41.53,23.01,2.64,0,13.88,0,0.9,1.1,58.47,10.65,0.68,1.08,0,0,43.07,2.98
1404,17031140400,1404,6855,3930,78,0,1577,0,1019,251,57.33,1.14,0,23.01,0,14.87,3.66,6855,4894,3102,58,0,1577,0,41,116,1961,828,20,0,0,0,978,135,71.39,45.25,0.85,0,23.01,0,0.6,1.69,28.61,12.08,0.29,0,0,0,14.27,1.97
2922,17031292200,2922,3043,92,2919,0,0,0,0,32,3.02,95.93,0,0,0,0,1.05,3043,3043,92,2919,0,0,0,0,32,0,0,0,0,0,0,0,0,100,3.02,95.93,0,0,0,0,1.05,0,0,0,0,0,0,0,0
2924,17031292400,2924,2028,104,1919,0,0,0,0,5,5.13,94.63,0,0,0,0,0.25,2028,1993,91,1897,0,0,0,0,5,35,13,22,0,0,0,0,0,98.27,4.49,93.54,0,0,0,0,0.25,1.73,0.64,1.08,0,0,0,0,0
2925,17031292500,2925,4136,32,4094,0,0,0,0,10,0.77,98.98,0,0,0,0,0.24,4136,4136,32,4094,0,0,0,0,10,0,0,0,0,0,0,0,0,100,0.77,98.98,0,0,0,0,0.24,0,0,0,0,0,0,0,0
3005,17031300500,3005,2888,1966,89,0,17,0,794,22,68.07,3.08,0,0.59,0,27.49,0.76,2888,106,0,89,0,17,0,0,0,2782,1966,0,0,0,0,794,22,3.67,0,3.08,0,0.59,0,0,0,96.33,68.07,0,0,0,0,27.49,0.76
3006,17031300600,3006,3458,2385,456,0,5,0,600,12,68.97,13.19,0,0.14,0,17.35,0.35,3458,624,191,428,0,5,0,0,0,2834,2194,28,0,0,0,600,12,18.05,5.52,12.38,0,0.14,0,0,0,81.95,63.45,0.81,0,0,0,17.35,0.35
3007,17031300700,3007,4451,3223,75,34,0,0,1119,0,72.41,1.69,0.76,0,0,25.14,0,4451,182,107,75,0,0,0,0,0,4269,3116,0,34,0,0,1119,0,4.09,2.4,1.69,0,0,0,0,0,95.91,70.01,0,0.76,0,0,25.14,0
2827,17031282700,2827,2505,794,1217,0,131,0,292,71,31.7,48.58,0,5.23,0,11.66,2.83,2505,1702,409,1140,0,120,0,0,33,803,385,77,0,11,0,292,38,67.94,16.33,45.51,0,4.79,0,0,1.32,32.06,15.37,3.07,0,0.44,0,11.66,1.52
2828,17031282800,2828,1726,762,319,0,360,0,244,41,44.15,18.48,0,20.86,0,14.14,2.38,1726,1384,648,317,0,360,0,18,41,342,114,2,0,0,0,226,0,80.19,37.54,18.37,0,20.86,0,1.04,2.38,19.81,6.6,0.12,0,0,0,13.09,0
2831,17031283100,2831,2519,815,1175,0,452,0,58,19,32.35,46.65,0,17.94,0,2.3,0.75,2519,2396,745,1144,0,452,0,36,19,123,70,31,0,0,0,22,0,95.12,29.58,45.41,0,17.94,0,1.43,0.75,4.88,2.78,1.23,0,0,0,0.87,0
2832,17031283200,2832,1255,397,540,14,241,0,11,52,31.63,43.03,1.12,19.2,0,0.88,4.14,1255,1170,365,540,0,241,0,0,24,85,32,0,14,0,0,11,28,93.23,29.08,43.03,0,19.2,0,0,1.91,6.77,2.55,0,1.12,0,0,0.88,2.23
2838,17031283800,2838,3196,1035,1588,13,434,0,65,61,32.38,49.69,0.41,13.58,0,2.03,1.91,3196,2787,773,1506,13,434,0,27,34,409,262,82,0,0,0,38,27,87.2,24.19,47.12,0.41,13.58,0,0.84,1.06,12.8,8.2,2.57,0,0,0,1.19,0.84
2909,17031290900,2909,4038,174,3812,0,0,0,0,52,4.31,94.4,0,0,0,0,1.29,4038,3899,59,3788,0,0,0,0,52,139,115,24,0,0,0,0,0,96.56,1.46,93.81,0,0,0,0,1.29,3.44,2.85,0.59,0,0,0,0,0
2912,17031291200,2912,2440,21,2367,0,0,0,0,52,0.86,97.01,0,0,0,0,2.13,2440,2440,21,2367,0,0,0,0,52,0,0,0,0,0,0,0,0,100,0.86,97.01,0,0,0,0,2.13,0,0,0,0,0,0,0,0
2916,17031291600,2916,920,220,248,0,0,0,452,0,23.91,26.96,0,0,0,49.13,0,920,210,62,148,0,0,0,0,0,710,158,100,0,0,0,452,0,22.83,6.74,16.09,0,0,0,0,0,77.17,17.17,10.87,0,0,0,49.13,0
6203,17031620300,6203,6525,4523,62,0,100,0,1801,39,69.32,0.95,0,1.53,0,27.6,0.6,6525,1717,1566,51,0,100,0,0,0,4808,2957,11,0,0,0,1801,39,26.31,24,0.78,0,1.53,0,0,0,73.69,45.32,0.17,0,0,0,27.6,0.6
6204,17031620400,6204,5301,3351,242,8,44,0,1631,25,63.21,4.57,0.15,0.83,0,30.77,0.47,5301,754,505,197,8,44,0,0,0,4547,2846,45,0,0,0,1631,25,14.22,9.53,3.72,0.15,0.83,0,0,0,85.78,53.69,0.85,0,0,0,30.77,0.47
6301,17031630100,6301,1198,618,288,3,0,0,289,0,51.59,24.04,0.25,0,0,24.12,0,1198,339,72,267,0,0,0,0,0,859,546,21,3,0,0,289,0,28.3,6.01,22.29,0,0,0,0,0,71.7,45.58,1.75,0.25,0,0,24.12,0
6302,17031630200,6302,2344,1384,10,0,121,0,770,59,59.04,0.43,0,5.16,0,32.85,2.52,2344,198,77,0,0,121,0,0,0,2146,1307,10,0,0,0,770,59,8.45,3.28,0,0,5.16,0,0,0,91.55,55.76,0.43,0,0,0,32.85,2.52
6303,17031630300,6303,5850,4302,2,53,49,0,1444,0,73.54,0.03,0.91,0.84,0,24.68,0,5850,487,436,2,0,49,0,0,0,5363,3866,0,53,0,0,1444,0,8.32,7.45,0.03,0,0.84,0,0,0,91.68,66.09,0,0.91,0,0,24.68,0
6304,17031630400,6304,6957,3581,0,0,57,0,3282,37,51.47,0,0,0.82,0,47.18,0.53,6957,362,295,0,0,57,0,0,10,6595,3286,0,0,0,0,3282,27,5.2,4.24,0,0,0.82,0,0,0.14,94.8,47.23,0,0,0,0,47.18,0.39
6305,17031630500,6305,5964,3195,196,0,54,0,2469,50,53.57,3.29,0,0.91,0,41.4,0.84,5964,450,201,186,0,54,0,0,9,5514,2994,10,0,0,0,2469,41,7.55,3.37,3.12,0,0.91,0,0,0.15,92.45,50.2,0.17,0,0,0,41.4,0.69
6308,17031630800,6308,6889,3965,199,73,110,0,2454,88,57.56,2.89,1.06,1.6,0,35.62,1.28,6889,542,311,192,0,39,0,0,0,6347,3654,7,73,71,0,2454,88,7.87,4.51,2.79,0,0.57,0,0,0,92.13,53.04,0.1,1.06,1.03,0,35.62,1.28
6309,17031630900,6309,4895,2643,79,0,50,0,2110,13,53.99,1.61,0,1.02,0,43.11,0.27,4895,528,399,79,0,50,0,0,0,4367,2244,0,0,0,0,2110,13,10.79,8.15,1.61,0,1.02,0,0,0,89.21,45.84,0,0,0,0,43.11,0.27
